Symbol,Total_Score,Recommendation,Fund_Score,Tech_Score,Fund_Reason,Tech_Reason,Price
CTG,7.4,MUA THĂM DÒ,7,8,ROE Tốt (19.62%); Tăng trưởng mạnh (61.67%),Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn); RSI Neutral (55.5) - Vùng mua an toàn,35.3
SAB,7.4,MUA THĂM DÒ,7,8,ROE Tốt (17.66%); Tăng trưởng mạnh (21.57%),Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn); RSI Neutral (48.0) - Vùng mua an toàn,48.9
HPG,6.8,MUA THĂM DÒ,6,8,ROE Khá (11.29%); Tăng trưởng mạnh (31.93%),Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn); RSI Neutral (51.2) - Vùng mua an toàn,26.8
MWG,6.2,MUA THĂM DÒ,7,5,ROE Tốt (18.28%); Tăng trưởng mạnh (121.32%),Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn),88.0
VNM,6.2,MUA THĂM DÒ,5,8,ROE Rất cao (22.91%); Tăng trưởng dương,Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn); RSI Neutral (48.8) - Vùng mua an toàn,61.9
FRT,6.2,MUA THĂM DÒ,7,5,ROE Tốt (16.92%); Tăng trưởng mạnh (55.23%),Price < MA50 (Yếu); Price > MA200 (Uptrend dài hạn); RSI Neutral (49.4) - Vùng mua an toàn,145.7
PNJ,6.2,MUA THĂM DÒ,7,5,ROE Tốt (19.52%); Tăng trưởng mạnh (129.67%),Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn),95.8
SHB,6.2,MUA THĂM DÒ,7,5,ROE Tốt (18.0%); Tăng trưởng mạnh (49.82%),Price < MA50 (Yếu); Price > MA200 (Uptrend dài hạn); RSI Neutral (47.9) - Vùng mua an toàn,16.3
VGI,6.0,MUA THĂM DÒ,8,3,ROE Rất cao (23.35%); Tăng trưởng mạnh (1933.38%),Price < MA50 (Yếu); RSI Neutral (46.8) - Vùng mua an toàn,70.2
LPB,5.8,THEO DÕI,7,4,ROE Rất cao (23.84%); Tăng trưởng tốt (18.5%),Price < MA50 (Yếu); Price > MA200 (Uptrend dài hạn); RSI Oversold nhẹ (34.4) - Canh hồi phục,41.7
STB,5.8,THEO DÕI,7,4,ROE Tốt (19.6%); Tăng trưởng mạnh (31.81%),Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn); RSI Quá mua (72.0) - Cẩn trọng điều chỉnh,60.3
SSI,5.6,THEO DÕI,6,5,ROE Khá (11.89%); Tăng trưởng mạnh (85.66%),Price < MA50 (Yếu); Price > MA200 (Uptrend dài hạn); RSI Neutral (51.2) - Vùng mua an toàn,30.65
TPB,5.6,THEO DÕI,4,8,ROE Tốt (16.35%); Tăng trưởng dương,Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn); RSI Neutral (50.2) - Vùng mua an toàn,17.05
BID,5.6,THEO DÕI,6,5,ROE Tốt (15.69%); Tăng trưởng tốt (15.56%),Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn),39.55
ACB,5.6,THEO DÕI,6,5,ROE Tốt (19.02%); Tăng trưởng tốt (10.6%),Price < MA50 (Yếu); Price > MA200 (Uptrend dài hạn); RSI Neutral (46.3) - Vùng mua an toàn,24.05
VRE,5.6,THEO DÕI,6,5,ROE Khá (10.66%); Tăng trưởng mạnh (51.86%),Price < MA50 (Yếu); Price > MA200 (Uptrend dài hạn); RSI Neutral (51.1) - Vùng mua an toàn,32.65
VPB,5.6,THEO DÕI,6,5,ROE Khá (12.94%); Tăng trưởng mạnh (80.63%),Price < MA50 (Yếu); Price > MA200 (Uptrend dài hạn); RSI Neutral (46.7) - Vùng mua an toàn,28.2
NT2,5.6,THEO DÕI,6,5,ROE Khá (14.46%); Tăng trưởng mạnh (383.54%),Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn),24.4
VND,5.6,THEO DÕI,4,8,ROE Thấp (9.39%); Tăng trưởng mạnh (83.92%),Price > MA50 (Uptrend ngắn hạn); Price > MA200 (Uptrend dài hạn); RSI Neutral (55.4) - Vùng mua an toàn,19.9
FPT,5.4,THEO DÕI,7,3,ROE Rất cao (20.92%); Tăng trưởng tốt (16.56%),Price < MA50 (Yếu); RSI Neutral (52.0) - Vùng mua an toàn,95.8
VHC,5.4,THEO DÕI,7,3,ROE Tốt (15.33%); Tăng trưởng mạnh (35.05%),Price < MA50 (Yếu); RSI Neutral (49.5) - Vùng mua an toàn,55.3
